gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerType
0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,29,5
1,0,0,0,2,1,0,0,2,0,2,0,0,0,1,0,3,2,1889,3
1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,3,2,108,5
1,0,0,0,3,0,1,0,2,0,2,2,0,0,1,0,0,1,1840,3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,151,5
0,0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,4,820,1
1,0,0,1,1,1,2,1,0,2,0,0,2,0,0,1,1,4,1949,3
0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,301,5
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,5,3046,7
1,0,0,1,5,1,0,0,2,2,0,0,0,0,1,0,0,2,3487,2
1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,3,1,587,5
1,0,0,0,1,1,0,2,1,1,1,1,1,1,2,0,1,0,326,5
1,0,1,0,4,1,2,1,0,0,2,0,2,2,1,0,1,4,5681,0
1,0,0,0,4,1,2,1,0,2,2,0,2,2,0,1,0,5,5036,6
1,0,0,0,2,1,0,1,2,0,2,2,2,2,0,1,2,5,2686,7
0,0,1,1,5,1,2,1,2,2,2,2,2,2,2,0,1,5,7895,4
0,0,0,0,4,1,0,2,1,1,1,1,1,1,1,0,3,0,1022,1
1,0,0,1,5,1,2,1,2,0,2,0,2,2,2,0,0,5,7382,4
0,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0,1,2,528,5
0,0,0,0,1,1,0,1,0,2,2,0,0,2,0,1,2,4,1862,3
1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,1,39,5
1,0,1,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0,202,5
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,20,5
0,0,1,0,4,1,2,0,0,2,0,2,0,0,2,1,1,2,3505,2
1,0,1,1,4,1,0,0,2,2,0,2,0,0,0,0,1,2,2970,7
0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,0,2,1530,3
1,0,1,1,3,1,2,1,0,2,0,0,2,2,0,1,2,4,4749,6
1,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,30,5
1,0,1,0,5,1,2,0,2,2,2,2,2,2,2,1,1,4,6369,0
0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,1,3,2,1093,1
0,1,1,0,5,1,2,1,2,2,2,2,0,0,2,1,1,4,6766,0
1,1,1,0,0,1,0,1,0,0,2,0,2,2,0,1,1,4,181,5
0,0,1,1,2,1,0,0,2,2,2,2,0,0,1,0,3,2,1874,3
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,20,5
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,45,5
0,0,1,1,5,1,2,1,2,2,0,2,2,0,2,0,0,4,7251,4
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,316,5
0,0,0,0,3,1,0,1,0,0,2,0,0,0,0,1,1,3,3548,2
1,0,0,0,2,1,2,1,0,2,2,0,2,2,0,1,2,5,3549,2
0,0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,4,1105,1
1,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,3,1,475,5
0,0,1,1,5,1,2,0,2,2,0,0,2,0,2,1,1,3,4872,6
0,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0,418,5
0,0,0,0,5,1,2,0,2,2,2,2,2,0,2,1,1,3,4861,6
0,0,1,0,1,1,2,0,2,2,0,2,2,0,0,1,2,3,981,1
0,0,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,3,3906,2
1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,1,97,5
0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,3,144,5
1,0,0,0,4,1,2,0,2,0,0,2,2,2,2,1,1,3,4217,2
0,0,1,1,5,1,2,0,2,0,2,2,0,0,2,1,1,2,4254,2
0,1,0,0,3,1,2,1,0,2,0,0,2,0,0,1,2,4,3838,2
0,0,0,0,1,1,0,1,2,2,0,0,2,2,0,1,1,4,1426,3
0,1,1,0,2,1,2,0,2,0,0,2,2,0,0,1,1,3,1752,3
0,1,1,0,0,1,2,1,0,2,0,0,0,0,0,1,1,3,633,1
0,1,1,1,4,1,0,0,2,2,2,2,0,2,1,1,1,3,4456,6
1,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,4,1752,3
0,0,1,1,5,1,2,1,2,0,0,0,2,2,1,1,1,4,6311,0
1,1,1,1,5,1,2,1,0,2,2,2,2,2,1,1,2,5,7076,4
0,0,1,1,2,1,2,2,1,1,1,1,1,1,2,0,1,0,894,1
0,0,0,0,5,1,2,1,0,0,2,2,2,2,2,1,1,5,7853,4
0,0,1,0,3,1,2,1,0,0,2,0,2,2,0,1,2,4,4707,6
1,0,0,0,4,1,2,1,0,2,0,0,2,0,0,1,0,4,5450,6
1,0,1,0,5,0,1,0,2,2,2,0,0,0,2,0,0,1,2962,7
0,0,1,1,1,1,0,0,0,0,2,2,0,0,1,1,1,2,957,1
0,0,0,0,0,1,2,1,0,0,0,0,2,2,0,0,2,4,857,1
0,0,0,0,0,1,0,0,0,2,0,2,2,2,0,1,2,3,244,5
